Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/20/2024 17:00,865 W,384 W,352 W,129 W
1/20/2024 18:00,724 W,281 W,263 W,180 W
1/20/2024 19:00,738 W,167 W,388 W,183 W
1/20/2024 20:00,525 W,67 W,275 W,183 W
1/20/2024 21:00,560 W,68 W,310 W,182 W
1/20/2024 22:00,636 W,176 W,277 W,183 W
1/20/2024 23:00,679 W,200 W,295 W,184 W
1/21/2024 0:00,544 W,70 W,290 W,184 W
1/21/2024 1:00,755 W,73 W,498 W,184 W
1/21/2024 2:00,850 W,244 W,421 W,185 W
1/21/2024 3:00,567 W,79 W,302 W,186 W
1/21/2024 4:00,730 W,217 W,327 W,186 W
1/21/2024 5:00,"1,111 W",566 W,360 W,185 W
1/21/2024 6:00,627 W,179 W,264 W,184 W
1/21/2024 7:00,586 W,178 W,256 W,152 W
1/21/2024 8:00,748 W,379 W,256 W,113 W
1/21/2024 9:00,664 W,270 W,292 W,102 W
1/21/2024 10:00,"1,814 W",734 W,947 W,133 W
1/21/2024 11:00,773 W,407 W,236 W,130 W
1/21/2024 12:00,"1,444 W",720 W,589 W,135 W
1/21/2024 13:00,"1,400 W",655 W,614 W,131 W
1/21/2024 14:00,"1,261 W",541 W,603 W,117 W
1/21/2024 15:00,"1,658 W",759 W,769 W,130 W
1/21/2024 16:00,656 W,311 W,241 W,104 W
1/21/2024 17:00,585 W,202 W,263 W,120 W
1/21/2024 18:00,914 W,423 W,312 W,179 W
1/21/2024 19:00,598 W,165 W,254 W,179 W
1/21/2024 20:00,708 W,267 W,260 W,181 W
1/21/2024 21:00,927 W,293 W,452 W,182 W
1/21/2024 22:00,832 W,384 W,265 W,183 W
1/21/2024 23:00,631 W,175 W,272 W,184 W
1/22/2024 0:00,872 W,409 W,278 W,185 W
1/22/2024 1:00,708 W,72 W,452 W,184 W
1/22/2024 2:00,973 W,77 W,713 W,183 W
1/22/2024 3:00,786 W,341 W,262 W,183 W
1/22/2024 4:00,683 W,238 W,262 W,183 W
1/22/2024 5:00,519 W,71 W,265 W,183 W
1/22/2024 6:00,538 W,103 W,253 W,182 W
1/22/2024 7:00,788 W,210 W,429 W,149 W
1/22/2024 8:00,410 W,67 W,231 W,112 W
1/22/2024 9:00,"1,275 W",416 W,757 W,102 W
1/22/2024 10:00,"2,321 W",164 W,"1,042 W","1,115 W"
1/22/2024 11:00,"1,982 W",333 W,553 W,"1,096 W"
1/22/2024 12:00,"1,593 W",266 W,604 W,723 W
1/22/2024 13:00,"4,343 W",626 W,"1,133 W","2,584 W"
1/22/2024 14:00,"2,671 W",217 W,"1,029 W","1,425 W"
1/22/2024 15:00,"1,475 W",354 W,288 W,833 W
1/22/2024 16:00,636 W,279 W,248 W,109 W
1/22/2024 17:00,660 W,287 W,245 W,128 W
1/22/2024 18:00,913 W,394 W,332 W,187 W
1/22/2024 19:00,820 W,263 W,370 W,187 W
1/22/2024 20:00,686 W,194 W,304 W,188 W
1/22/2024 21:00,965 W,513 W,264 W,188 W
1/22/2024 22:00,783 W,332 W,261 W,190 W
1/22/2024 23:00,730 W,282 W,258 W,190 W
1/23/2024 0:00,772 W,224 W,358 W,190 W
1/23/2024 1:00,835 W,369 W,276 W,190 W
1/23/2024 2:00,656 W,116 W,350 W,190 W
1/23/2024 3:00,666 W,197 W,279 W,190 W
1/23/2024 4:00,"1,005 W",540 W,275 W,190 W
1/23/2024 5:00,697 W,214 W,293 W,190 W
1/23/2024 6:00,"1,201 W",73 W,939 W,189 W
1/23/2024 7:00,681 W,188 W,343 W,150 W
1/23/2024 8:00,435 W,70 W,247 W,118 W
1/23/2024 9:00,"1,280 W",892 W,279 W,109 W
1/23/2024 10:00,"1,035 W",504 W,406 W,125 W
1/23/2024 11:00,"1,882 W",565 W,"1,188 W",129 W
1/23/2024 12:00,"1,855 W",180 W,"1,574 W",101 W
1/23/2024 13:00,"1,146 W",703 W,339 W,104 W
1/23/2024 14:00,"1,147 W",502 W,541 W,104 W
1/23/2024 15:00,"1,394 W",197 W,"1,095 W",102 W
1/23/2024 16:00,521 W,105 W,313 W,103 W
1/23/2024 17:00,681 W,246 W,302 W,133 W
1/23/2024 18:00,847 W,346 W,322 W,179 W
1/23/2024 19:00,541 W,98 W,264 W,179 W
1/23/2024 20:00,702 W,117 W,403 W,182 W
1/23/2024 21:00,626 W,182 W,262 W,182 W
1/23/2024 22:00,738 W,291 W,265 W,182 W
1/23/2024 23:00,593 W,72 W,337 W,184 W
1/24/2024 0:00,544 W,72 W,288 W,184 W
1/24/2024 1:00,693 W,224 W,285 W,184 W
1/24/2024 2:00,"1,010 W",216 W,610 W,184 W
1/24/2024 3:00,608 W,137 W,286 W,185 W
1/24/2024 4:00,829 W,358 W,288 W,183 W
1/24/2024 5:00,642 W,150 W,308 W,184 W
1/24/2024 6:00,825 W,313 W,331 W,181 W
1/24/2024 7:00,576 W,88 W,342 W,146 W
1/24/2024 8:00,643 W,271 W,262 W,110 W
1/24/2024 9:00,"4,692 W",756 W,826 W,"3,110 W"
1/24/2024 10:00,"1,977 W",529 W,320 W,"1,128 W"
1/24/2024 11:00,"2,273 W",682 W,348 W,"1,243 W"
1/24/2024 12:00,"1,131 W",138 W,489 W,504 W
1/24/2024 13:00,"3,042 W",141 W,609 W,"2,292 W"
1/24/2024 14:00,"2,130 W",297 W,651 W,"1,182 W"
1/24/2024 15:00,"1,934 W",307 W,492 W,"1,135 W"
1/24/2024 16:00,811 W,312 W,395 W,104 W
1/24/2024 17:00,"1,102 W",339 W,637 W,126 W
1/24/2024 18:00,807 W,257 W,370 W,180 W
1/24/2024 19:00,657 W,231 W,245 W,181 W
1/24/2024 20:00,717 W,286 W,250 W,181 W
