Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/19 8:00:00,654 W,301 W,241 W,112 W
2024/1/19 9:00:00,773 W,327 W,341 W,105 W
2024/1/19 10:00:00,"3,386 W",915 W,"1,183 W","1,288 W"
2024/1/19 11:00:00,"2,914 W",399 W,"1,175 W","1,340 W"
2024/1/19 12:00:00,"1,299 W",295 W,514 W,490 W
2024/1/19 13:00:00,"1,421 W",475 W,410 W,536 W
2024/1/19 14:00:00,"1,878 W",857 W,478 W,543 W
2024/1/19 15:00:00,"2,789 W",917 W,610 W,"1,262 W"
2024/1/19 16:00:00,"1,088 W",409 W,574 W,105 W
2024/1/19 17:00:00,527 W,110 W,291 W,126 W
2024/1/19 18:00:00,764 W,213 W,372 W,179 W
2024/1/19 19:00:00,881 W,412 W,288 W,181 W
2024/1/19 20:00:00,772 W,317 W,273 W,182 W
2024/1/19 21:00:00,"1,025 W",418 W,424 W,183 W
2024/1/19 22:00:00,"1,107 W",309 W,615 W,183 W
2024/1/19 23:00:00,777 W,67 W,527 W,183 W
2024/1/20 0:00:00,706 W,241 W,280 W,185 W
2024/1/20 1:00:00,532 W,68 W,279 W,185 W
2024/1/20 2:00:00,823 W,362 W,277 W,184 W
2024/1/20 3:00:00,664 W,195 W,285 W,184 W
2024/1/20 4:00:00,683 W,187 W,310 W,186 W
2024/1/20 5:00:00,911 W,409 W,319 W,183 W
2024/1/20 6:00:00,648 W,174 W,290 W,184 W
2024/1/20 7:00:00,769 W,325 W,273 W,171 W
2024/1/20 8:00:00,556 W,170 W,274 W,112 W
2024/1/20 9:00:00,941 W,528 W,309 W,104 W
2024/1/20 10:00:00,759 W,389 W,266 W,104 W
2024/1/20 11:00:00,780 W,410 W,267 W,103 W
2024/1/20 12:00:00,542 W,169 W,269 W,104 W
2024/1/20 13:00:00,878 W,418 W,356 W,104 W
2024/1/20 14:00:00,635 W,191 W,338 W,106 W
2024/1/20 15:00:00,764 W,305 W,354 W,105 W
2024/1/20 16:00:00,518 W,98 W,316 W,104 W
2024/1/20 17:00:00,865 W,384 W,352 W,129 W
2024/1/20 18:00:00,724 W,281 W,263 W,180 W
2024/1/20 19:00:00,738 W,167 W,388 W,183 W
2024/1/20 20:00:00,525 W,67 W,275 W,183 W
2024/1/20 21:00:00,560 W,68 W,310 W,182 W
2024/1/20 22:00:00,636 W,176 W,277 W,183 W
2024/1/20 23:00:00,679 W,200 W,295 W,184 W
2024/1/21 0:00:00,544 W,70 W,290 W,184 W
2024/1/21 1:00:00,755 W,73 W,498 W,184 W
2024/1/21 2:00:00,850 W,244 W,421 W,185 W
2024/1/21 3:00:00,567 W,79 W,302 W,186 W
2024/1/21 4:00:00,730 W,217 W,327 W,186 W
2024/1/21 5:00:00,"1,111 W",566 W,360 W,185 W
2024/1/21 6:00:00,627 W,179 W,264 W,184 W
2024/1/21 7:00:00,586 W,178 W,256 W,152 W
2024/1/21 8:00:00,748 W,379 W,256 W,113 W
2024/1/21 9:00:00,664 W,270 W,292 W,102 W
2024/1/21 10:00:00,"1,814 W",734 W,947 W,133 W
2024/1/21 11:00:00,773 W,407 W,236 W,130 W
2024/1/21 12:00:00,"1,444 W",720 W,589 W,135 W
2024/1/21 13:00:00,"1,400 W",655 W,614 W,131 W
2024/1/21 14:00:00,"1,261 W",541 W,603 W,117 W
2024/1/21 15:00:00,"1,658 W",759 W,769 W,130 W
2024/1/21 16:00:00,656 W,311 W,241 W,104 W
2024/1/21 17:00:00,585 W,202 W,263 W,120 W
2024/1/21 18:00:00,914 W,423 W,312 W,179 W
2024/1/21 19:00:00,598 W,165 W,254 W,179 W
2024/1/21 20:00:00,708 W,267 W,260 W,181 W
2024/1/21 21:00:00,927 W,293 W,452 W,182 W
2024/1/21 22:00:00,832 W,384 W,265 W,183 W
2024/1/21 23:00:00,631 W,175 W,272 W,184 W
2024/1/22 0:00:00,872 W,409 W,278 W,185 W
2024/1/22 1:00:00,708 W,72 W,452 W,184 W
2024/1/22 2:00:00,973 W,77 W,713 W,183 W
2024/1/22 3:00:00,786 W,341 W,262 W,183 W
2024/1/22 4:00:00,683 W,238 W,262 W,183 W
2024/1/22 5:00:00,519 W,71 W,265 W,183 W
2024/1/22 6:00:00,538 W,103 W,253 W,182 W
2024/1/22 7:00:00,788 W,210 W,429 W,149 W
2024/1/22 8:00:00,410 W,67 W,231 W,112 W
2024/1/22 9:00:00,"1,275 W",416 W,757 W,102 W
2024/1/22 10:00:00,"2,321 W",164 W,"1,042 W","1,115 W"
2024/1/22 11:00:00,"1,982 W",333 W,553 W,"1,096 W"
2024/1/22 12:00:00,"1,593 W",266 W,604 W,723 W
2024/1/22 13:00:00,"4,343 W",626 W,"1,133 W","2,584 W"
2024/1/22 14:00:00,"2,671 W",217 W,"1,029 W","1,425 W"
2024/1/22 15:00:00,"1,475 W",354 W,288 W,833 W
2024/1/22 16:00:00,636 W,279 W,248 W,109 W
2024/1/22 17:00:00,660 W,287 W,245 W,128 W
2024/1/22 18:00:00,913 W,394 W,332 W,187 W
2024/1/22 19:00:00,820 W,263 W,370 W,187 W
2024/1/22 20:00:00,686 W,194 W,304 W,188 W
2024/1/22 21:00:00,965 W,513 W,264 W,188 W
2024/1/22 22:00:00,783 W,332 W,261 W,190 W
2024/1/22 23:00:00,730 W,282 W,258 W,190 W
2024/1/23 0:00:00,772 W,224 W,358 W,190 W
2024/1/23 1:00:00,835 W,369 W,276 W,190 W
2024/1/23 2:00:00,656 W,116 W,350 W,190 W
2024/1/23 3:00:00,666 W,197 W,279 W,190 W
2024/1/23 4:00:00,"1,005 W",540 W,275 W,190 W
2024/1/23 5:00:00,697 W,214 W,293 W,190 W
2024/1/23 6:00:00,"1,201 W",73 W,939 W,189 W
2024/1/23 7:00:00,681 W,188 W,343 W,150 W
2024/1/23 8:00:00,435 W,70 W,247 W,118 W
2024/1/23 9:00:00,"1,280 W",892 W,279 W,109 W
2024/1/23 10:00:00,"1,035 W",504 W,406 W,125 W
2024/1/23 11:00:00,"1,882 W",565 W,"1,188 W",129 W
2024/1/23 12:00:00,"1,855 W",180 W,"1,574 W",101 W
