Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/23 2:00:00,"1,213 W",420 W,309 W,484 W
2024/1/23 3:00:00,"1,176 W",420 W,269 W,487 W
2024/1/23 4:00:00,"1,141 W",389 W,265 W,487 W
2024/1/23 5:00:00,"1,175 W",388 W,305 W,482 W
2024/1/23 6:00:00,"4,687 W",400 W,343 W,"3,944 W"
2024/1/23 7:00:00,"3,277 W",368 W,236 W,"2,673 W"
2024/1/23 8:00:00,"5,097 W",648 W,768 W,"3,681 W"
2024/1/23 9:00:00,"6,381 W",577 W,486 W,"5,318 W"
2024/1/23 10:00:00,"5,804 W",701 W,"1,620 W","3,483 W"
2024/1/23 11:00:00,"4,901 W",691 W,"1,207 W","3,003 W"
2024/1/23 12:00:00,"7,520 W",706 W,"1,151 W","5,663 W"
2024/1/23 13:00:00,"5,228 W",690 W,"1,427 W","3,111 W"
2024/1/23 14:00:00,"5,834 W",682 W,"1,261 W","3,891 W"
2024/1/23 15:00:00,"3,527 W",683 W,"1,134 W","1,710 W"
2024/1/23 16:00:00,"1,490 W",510 W,287 W,693 W
2024/1/23 17:00:00,"5,338 W",534 W,300 W,"4,504 W"
2024/1/23 18:00:00,"2,499 W",569 W,294 W,"1,636 W"
2024/1/23 19:00:00,"5,512 W",485 W,298 W,"4,729 W"
2024/1/23 20:00:00,"2,421 W",480 W,301 W,"1,640 W"
2024/1/23 21:00:00,"1,452 W",486 W,264 W,702 W
2024/1/23 22:00:00,"1,469 W",489 W,275 W,705 W
2024/1/23 23:00:00,"1,488 W",496 W,282 W,710 W
2024/1/24 0:00:00,"1,519 W",506 W,296 W,717 W
2024/1/24 1:00:00,"1,523 W",512 W,296 W,715 W
2024/1/24 2:00:00,"1,520 W",508 W,298 W,714 W
2024/1/24 3:00:00,"1,538 W",518 W,301 W,719 W
2024/1/24 4:00:00,"1,544 W",515 W,306 W,723 W
2024/1/24 5:00:00,"1,609 W",581 W,314 W,714 W
2024/1/24 6:00:00,"2,636 W",532 W,363 W,"1,741 W"
2024/1/24 7:00:00,"4,100 W",478 W,268 W,"3,354 W"
2024/1/24 8:00:00,"3,954 W",467 W,436 W,"3,051 W"
2024/1/24 9:00:00,"5,339 W",433 W,"1,356 W","3,550 W"
2024/1/24 10:00:00,"4,430 W",550 W,455 W,"3,425 W"
2024/1/24 11:00:00,"4,638 W","1,312 W",241 W,"3,085 W"
2024/1/24 12:00:00,"4,569 W",954 W,299 W,"3,316 W"
2024/1/24 13:00:00,"4,047 W",480 W,708 W,"2,859 W"
2024/1/24 14:00:00,"3,938 W",369 W,250 W,"3,319 W"
2024/1/24 15:00:00,"4,323 W",360 W,489 W,"3,474 W"
2024/1/24 16:00:00,"5,799 W",371 W,461 W,"4,967 W"
2024/1/24 17:00:00,"1,371 W",359 W,449 W,563 W
2024/1/24 18:00:00,"3,969 W",363 W,259 W,"3,347 W"
2024/1/24 19:00:00,"3,660 W",364 W,257 W,"3,039 W"
2024/1/24 20:00:00,"4,133 W",375 W,267 W,"3,491 W"
2024/1/24 21:00:00,"1,366 W",381 W,259 W,726 W
2024/1/24 22:00:00,"1,390 W",388 W,269 W,733 W
2024/1/24 23:00:00,"1,421 W",389 W,301 W,731 W
2024/1/25 0:00:00,"1,422 W",390 W,293 W,739 W
2024/1/25 1:00:00,"1,408 W",390 W,291 W,727 W
2024/1/25 2:00:00,"1,431 W",393 W,299 W,739 W
2024/1/25 3:00:00,"1,440 W",396 W,312 W,732 W
2024/1/25 4:00:00,"1,427 W",397 W,296 W,734 W
2024/1/25 5:00:00,"2,657 W",446 W,384 W,"1,827 W"
2024/1/25 6:00:00,"5,457 W",424 W,380 W,"4,653 W"
2024/1/25 7:00:00,"6,958 W",379 W,"1,248 W","5,331 W"
2024/1/25 8:00:00,"5,220 W",457 W,"1,417 W","3,346 W"
2024/1/25 9:00:00,"7,100 W",484 W,"1,265 W","5,351 W"
2024/1/25 10:00:00,"5,069 W",722 W,"1,077 W","3,270 W"
2024/1/25 11:00:00,"6,489 W",531 W,"1,184 W","4,774 W"
2024/1/25 12:00:00,"5,997 W",669 W,258 W,"5,070 W"
2024/1/25 13:00:00,"6,105 W",658 W,267 W,"5,180 W"
2024/1/25 14:00:00,"3,813 W",604 W,316 W,"2,893 W"
